# YYYY MM DD  Total  North  South
# Time base:   1
# Time unit:   d
# Point count: 51728
# ./cyclasar filter 0 0.001 10 sar-1880-2021.tsv filtered-sar-1880-2021.tsv
t/a	At/µhsp
1959.625976562	2610.430710202
1959.628784180	2607.650347883
1959.631469727	2604.864370330
1959.634277344	2602.074486527
1959.636962891	2599.280696474
1959.639770508	2596.482023608
1959.642456055	2593.678956211
1959.645263672	2590.871250142
1959.647949219	2588.059393682
1959.650634766	2585.242166129
1959.653442383	2582.421764748
1959.656127930	2579.596724695
1959.658935547	2576.767045969
1959.661621094	2573.932972713
1959.664428711	2571.094260785
1959.667114258	2568.251642607
1959.669921875	2565.404874038
1959.672607422	2562.553222656
1959.675292969	2559.697420884
1959.678100586	2556.837712862
1959.680786133	2553.973122028
1959.683593750	2551.104869084
1959.686279297	2548.231977468
1959.689086914	2545.354935462
1959.691772461	2542.473498924
1959.694580078	2539.588156136
1959.697265625	2536.698174677
1959.699951172	2533.804286967
1959.702758789	2530.906248867
1959.705444336	2528.004060377
1959.708251953	2525.097721495
1959.710937500	2522.186499801
1959.713745117	2519.272348420
1959.716430664	2516.353558367
1959.719238281	2513.431106204
1959.721923828	2510.503527088
1959.724609375	2507.573018285
1959.727416992	2504.637870810
1959.730102539	2501.698817085
1959.732910156	2498.755368828
1959.735595703	2495.808502603
1959.738403320	2492.857485987
1959.741088867	2489.902318981
1959.743896484	2486.943489865
1959.746582031	2483.980022078
1959.749267578	2481.013868743
1959.752075195	2478.042344315
1959.754760742	2475.067890199
1959.757568359	2472.089285693
1959.760253906	2469.107019077
1959.763061523	2466.120357930
1959.765747070	2463.130767095
1959.768432617	2460.136537589
1959.771240234	2457.138401833
1959.773925781	2454.136848108
1959.776733398	2451.131876414
1959.779418945	2448.122510189
1959.782226562	2445.109725995
1959.784912109	2442.093035551
1959.787719727	2439.072438857
1959.790405273	2436.048668335
1959.793090820	2433.021235703
1959.795898438	2429.989896822
1959.798583984	2426.954407550
1959.801391602	2423.915500309
1959.804077148	2420.873907522
1959.806884766	2417.827920203
1959.809570312	2414.778514915
1959.812377930	2411.725447518
1959.815063477	2408.668962152
1959.817749023	2405.608814677
1959.820556641	2402.545493374
1959.823242188	2399.478265821
1959.826049805	2396.407620299
1959.828735352	2393.333556808
1959.831542969	2390.255831208
1959.834228516	2387.174931780
1959.837036133	2384.090858523
1959.839721680	2381.003855579
1959.842407227	2377.912213964
1959.845214844	2374.818130942
1959.847900391	2371.719897529
1959.850708008	2368.618978569
1959.853393555	2365.514641641
1959.856201172	2362.407130885
1959.858886719	2359.296202160
1959.861694336	2356.181855466
1959.864379883	2353.064090803
1959.867065430	2349.943640594
1959.869873047	2346.819772415
1959.872558594	2343.693218690
1959.875366211	2340.563246996
1959.878051758	2337.429613193
1959.880859375	2334.292805562
1959.883544922	2331.153800665
1959.886352539	2328.010889518
1959.889038086	2324.865292824
1959.891723633	2321.716522302
1959.894531250	2318.565066233
1959.897216797	2315.410436336
1959.900024414	2312.252388470
1959.902709961	2309.091899198
1959.905517578	2305.928236098
1959.908203125	2302.761887451
1959.911010742	2299.592120835
1959.913696289	2296.419912813
1959.916381836	2293.244775104
1959.919189453	2290.066463566
1959.921875000	2286.885710622
1959.924682617	2283.702027991
1959.927368164	2280.515415672
1959.930175781	2277.326361947
1959.932861328	2274.133890253
1959.935668945	2270.939221293
1959.938354492	2267.741622646
1959.941040039	2264.541826734
1959.943847656	2261.339345274
1959.946533203	2258.132713424
1959.949340820	2254.925349152
1959.952026367	2251.714566911
1959.954833984	2248.501343264
1959.957519531	2245.285434070
1959.960327148	2242.067083470
1959.963012695	2238.846047323
1959.965698242	2235.622813911
1959.968505859	2232.396894951
1959.971191406	2229.168046304
1959.973999023	2225.937244532
1959.976684570	2222.704245494
1959.979492188	2219.468560910
1959.982177734	2216.230190779
1959.984985352	2212.989867522
1959.987670898	2209.746858719
1959.990356445	2206.501896791
1959.993164062	2203.254493456
1959.995849609	2200.004892856
1959.998657227	2196.753094990
1960.001342773	2193.498611578
1960.004150391	2190.242419181
1960.006835938	2186.984029518
1960.009521484	2183.723198449
1960.012329102	2180.460170115
1960.015014648	2177.195188655
1960.017700195	2173.927765789
1960.020507812	2170.658878080
1960.023193359	2167.387548964
1960.026000977	2164.114510864
1960.028686523	2160.838787217
1960.031372070	2157.561842867
1960.034179688	2154.282457110
1960.036865234	2151.001118229
1960.039672852	2147.717826223
1960.042358398	2144.432825232
1960.045043945	2141.146115257
1960.047851562	2137.857452157
1960.050537109	2134.566591791
1960.053222656	2131.274022441
1960.056030273	2127.979499966
1960.058715820	2124.683756787
1960.061523438	2121.385816343
1960.064208984	2118.086411056
1960.066894531	2114.785052643
1960.069702148	2111.482473527
1960.072387695	2108.177453005
1960.075195312	2104.871455921
1960.077880859	2101.563261571
1960.080566406	2098.254090658
1960.083374023	2094.943210761
1960.086059570	2091.630866020
1960.088745117	2088.316690225
1960.091552734	2085.001171656
1960.094238281	2081.684066173
1960.097045898	2078.365862057
1960.099731445	2075.045948957
1960.102416992	2071.724937224
1960.105224609	2068.402216507
1960.107910156	2065.078153016
1960.110595703	2061.752746752
1960.113403320	2058.425753574
1960.116088867	2055.097783833
1960.118896484	2051.768837530
1960.121582031	2048.438060172
1960.124267578	2045.106306251
1960.127075195	2041.773819909
1960.129760742	2038.439624582
1960.132568359	2035.104330623
1960.135253906	2031.768182171
1960.137939453	2028.430935087
1960.140747070	2025.092223158
1960.143432617	2021.752534668
1960.146118164	2018.411991685
1960.148925781	2015.070594209
1960.151611328	2011.727853961
1960.154418945	2008.384625431
1960.157104492	2005.039809987
1960.159790039	2001.694872473
1960.162597656	1998.348103904
1960.165283203	1995.001335335
1960.168090820	1991.653712274
1960.170776367	1988.304502299
1960.173461914	1984.955292324
1960.176269531	1981.605227857
1960.178955078	1978.254064756
1960.181640625	1974.902291305
1960.184448242	1971.549907501
1960.187133789	1968.196669206
1960.189941406	1964.842942629
1960.192626953	1961.488483631
1960.195312500	1958.133658421
1960.198120117	1954.777856649
1960.200805664	1951.422054877
1960.203491211	1948.065642754
1960.206298828	1944.708376138
1960.208984375	1941.350743311
1960.211791992	1937.993110484
1960.214477539	1934.634501095
1960.217163086	1931.275647565
1960.219970703	1927.916183684
1960.222656250	1924.556719803
1960.225463867	1921.196767640
1960.228149414	1917.836571337
1960.230834961	1914.476375034
1960.233642578	1911.115202168
1960.236328125	1907.754639654
1960.239013672	1904.393588858
1960.241821289	1901.032171852
1960.244506836	1897.670510705
1960.247314453	1894.308849558
1960.250000000	1890.947554622
1960.252685547	1887.586259686
1960.255493164	1884.223866117
1960.258178711	1880.861716688
1960.260986328	1877.500055541
1960.263671875	1874.138272324
1960.266357422	1870.776733247
1960.269165039	1867.414705889
1960.271850586	1864.053166813
1960.274536133	1860.691871877
1960.277343750	1857.330576941
1960.280029297	1853.969159934
1960.282836914	1850.607742928
1960.285522461	1847.247302484
1960.288208008	1843.887106181
